ds,yhat,yhat_lower,yhat_upper
2011-05-25,20.593429541903824,18.34766442521756,22.872215026055745
2011-05-26,20.591018215828758,18.240159679722137,23.072055032049644
2011-05-27,20.60348509378805,18.436414862109906,22.809439229957025
2011-05-31,20.625456287606454,18.209587304581042,22.831687476331822
2011-06-01,20.62697274405918,18.437579746465595,22.848048009771567
2011-06-02,20.620747208606698,18.18629308633706,23.05975244626752
2011-06-03,20.629114408276664,18.276628321581196,22.906740337732394
2011-06-06,20.62975568223914,18.45982330779578,22.77096165376231
2011-06-07,20.63378429321554,18.31061396116695,22.72432890897006
2011-06-08,20.63125692496646,18.38800059396583,22.894297289623964
2011-06-09,20.621295799969346,18.35307274582652,22.884307747911375
2011-06-10,20.626322670847127,18.240065189010295,22.79254130042063
2011-06-13,20.620025463724495,18.208831834258987,22.871345056604046
2011-06-14,20.62294075226913,18.317321439309826,22.98872879483345
2011-06-15,20.619949130036108,18.354189107465892,22.758932315588922
2011-06-16,20.610179036316513,18.27850651009815,22.88201716909261
2011-06-17,20.616042760159225,18.4138103145301,22.79659290093846
2011-06-20,20.615814733531348,18.447407002670396,22.911717780782435
2011-06-21,20.621768157212298,18.171480326303946,22.782627569229994
2011-06-22,20.62220949868195,18.209460292558287,22.806448360603333
2011-06-23,20.616187489172244,18.285671761626404,22.664070376953198
2011-06-24,20.626029829417185,18.359981532956976,22.92047769639294
2011-06-27,20.63825257668182,18.43866563050259,23.09275734266871
2011-06-28,20.648247747158305,18.462200250024104,22.79006307499936
2011-06-29,20.652548976214707,18.265882822795856,22.844337155272797
2011-06-30,20.65014006607615,18.184707294851133,23.00484155726997
2011-07-01,20.663293803691154,18.435365961575307,22.84964633326697
2011-07-05,20.69504757257131,18.531498290123796,23.03484763334489
2011-07-06,20.70073917038628,18.46573417540974,23.024931511147457
2011-07-07,20.699338476891697,18.363604586812347,23.01921966984347
2011-07-08,20.71314468285149,18.35605659719126,23.140235596171483
2011-07-11,20.733321747275525,18.427419155814565,22.819390957649784
2011-07-12,20.744747071361584,18.48099504612114,23.03603119537214
2011-07-13,20.749950780837132,18.4726730541549,23.03155770059096
2011-07-14,20.74798349217269,18.4057820705589,23.059541830322125
2011-07-15,20.761191942735024,18.64142373147081,23.02391808428769
2011-07-18,20.7797819122737,18.495264388271337,23.215454135934554
2011-07-19,20.79084018022286,18.5077150705529,23.130999824415948
2011-07-20,20.795781749975465,18.52519751402884,22.982857915225615
2011-07-21,20.793656651347735,18.602018033587232,23.047793238092922
2011-07-22,20.806800879429492,18.338836863897868,23.117747914962266
2011-07-25,20.825510236456523,18.55774193606831,23.118249370020273
2011-07-26,20.83658854720183,18.712541581355396,23.234198169134913
2011-07-27,20.841462917788014,18.435784574576612,23.141963516610442
2011-07-28,20.839131281102333,18.44645860126536,23.09693504790506
2011-07-29,20.851876498046035,18.610452001841825,23.206973912906697
2011-08-01,20.86773109491262,18.417535948961472,23.0546878010788
2011-08-02,20.877161483617282,18.57374699643233,23.11811620362659
2011-08-03,20.879986447321293,18.534287037242965,23.12184227738534
2011-08-04,20.875186465569413,18.634019917879098,23.14745595861367
2011-08-05,20.885038377187563,18.5620983521859,23.25547922584594
2011-08-08,20.889788248526827,18.550655946040727,23.109164021524347
2011-08-09,20.89481299435622,18.68654744971105,22.91886121599827
2011-08-10,20.89296213522832,18.785394537265713,23.401286974526073
2011-08-11,20.883281058872385,18.571723416221694,22.992897246439014
2011-08-12,20.888119963797212,18.628362582723422,23.170254411879398
2011-08-15,20.877857474292295,18.474962351317725,23.213668990225358
2011-08-16,20.87817168068252,18.563636714066664,23.175435839039796
2011-08-17,20.871896672728013,18.53026879347774,23.17469154108869
2011-08-18,20.85815459598219,18.52445544499824,23.03123626958665
2011-08-19,20.859364286339122,18.51067798287065,22.959083586915384
2011-08-22,20.841324155390186,18.380037724011867,23.00178577359463
2011-08-23,20.840187576351745,18.425660766092193,23.200629789268785
2011-08-24,20.833046812829494,18.542734734421632,22.960705477630245
2011-08-25,20.819008045427427,18.625377321829223,23.03089864507306
2011-08-26,20.82045778940962,18.59007747347498,22.973811592303775
2011-08-29,20.805806223502163,18.746537366653943,22.962517848736468
2011-08-30,20.806438252911807,18.4321310984361,23.097909124188693
2011-08-31,20.801234244253344,18.36428122658058,22.99727634079468
2011-09-01,20.78919902436427,18.497923071675128,23.054897299640395
2011-09-02,20.79261474079206,18.360735212766052,22.97163353851122
2011-09-06,20.78406499968702,18.41165321631126,23.08631393896328
2011-09-07,20.779185978381737,18.517899950304056,23.085327603078994
2011-09-08,20.766921608752973,18.504582773117807,23.153665674797868
2011-09-09,20.76951262917223,18.470487088487673,23.24570992930853
2011-09-12,20.753333953516876,18.484273884975355,23.141988834577518
2011-09-13,20.751552159175702,18.4200115776683,23.08610085272558
2011-09-14,20.742930234457884,18.34706397990943,22.936843305111594
2011-09-15,20.72649150450735,18.68151406224988,23.004791847937284
2011-09-16,20.724570741341118,18.397195319571647,23.00983499396389
2011-09-19,20.693982105644082,18.36087949487114,22.960875146686107
2011-09-20,20.68753825947827,18.23596369321494,23.136389850042104
2011-09-21,20.674554333298566,18.38474621086584,22.800918625622423
2011-09-22,20.654191465889475,18.456480579249778,22.9752684199017
2011-09-23,20.6489170916232,18.36224214072421,22.838423436156354
2011-09-26,20.612863904820962,18.298757007412767,22.973466820004813
2011-09-27,20.606447330693953,18.45473687376188,22.897592013724616
2011-09-28,20.59452634421957,18.392094418012043,22.84701113379835
2011-09-29,20.576295978358324,18.27614153940723,23.067447850197894
2011-09-30,20.57423360680592,18.400695948978953,22.7376025545053
2011-10-03,20.554024921257575,18.342647210833015,22.78825852283869
2011-10-04,20.554750508602975,18.237698422889103,22.745312784442365
2011-10-05,20.550742615688343,18.212891690968437,22.847962886203838
2011-10-06,20.54107216802243,18.084141135934786,22.792548613056155
2011-10-07,20.54807747714551,18.069240878232588,22.800015313171496
2011-10-10,20.55657858111613,18.24040489195532,22.787471465939632
2011-10-11,20.566840910665693,18.258432868643492,22.791016805900586
2011-10-12,20.57208877153487,18.184248825486232,22.753136055877896
2011-10-13,20.5712450490024,18.30362386995872,22.85782084041134
2011-10-14,20.5865125113405,18.38737876981947,22.88672204407864
2011-10-17,20.615314521754332,18.252819132687943,22.835410436510774
2011-10-18,20.630587148803322,18.25353527533502,22.861924663137263
2011-10-19,20.639895187009685,18.59493854705651,22.955862592552872
2011-10-20,20.642156007110984,18.358035213443948,22.864728478707907
2011-10-21,20.659592054462646,18.47340942677946,22.866649619192867
2011-10-24,20.689836431622414,18.37121685106431,22.91728187013431
2011-10-25,20.704191086670296,18.531747643397757,23.073412026986475
2011-10-26,20.71206917571779,18.47410098212165,22.962979649120562
2011-10-27,20.712519112672922,18.574363791411145,22.821679051812602
2011-10-28,20.727901334491797,18.47611896981243,22.95919734342514
2011-10-31,20.751921898196837,18.61488318446481,22.96488093371448
2011-11-01,20.764621680768837,18.484963747264754,22.957216654699074
2011-11-02,20.77124852893188,18.440492584202595,23.096365341655385
2011-11-03,20.77094353299415,18.49466601742815,22.960878934544738
2011-11-04,20.786139768541066,18.514282414321418,22.886864316820137
2011-11-07,20.813397268339024,18.773051642517743,23.013892470161068
2011-11-08,20.82844447769485,18.464163719315813,23.09335848652568
2011-11-09,20.837992053341292,18.534567021609103,23.12527824588829
2011-11-10,20.84110849069469,18.654434585870458,23.063295940761815
2011-11-11,20.860132634089847,18.477431046232077,23.031034836636014
2011-11-14,20.90010456257818,18.642318412338323,23.28461830798407
2011-11-15,20.919333407937245,18.51299638851757,23.268947796031995
2011-11-16,20.932783188903652,18.607260081547004,23.26550908242203
2011-11-17,20.93937027688239,18.730724906310197,23.179881170237298
2011-11-18,20.96128682103304,18.646103931693858,23.268339789637526
2011-11-21,21.00517312084986,18.561021550246533,23.35492382410142
2011-11-22,21.023773870770164,18.747836823497106,23.278272032778343
2011-11-23,21.035511294499802,18.77186322390213,23.316914824967775
2011-11-25,21.057236373297236,18.747025364441733,23.321549851471527
2011-11-28,21.082936529840666,18.838709238198142,23.254525530256245
2011-11-29,21.09363100999568,18.862388521396884,23.541893145924476
2011-11-30,21.096737822062796,18.993596096793457,23.411102654698002
2011-12-01,21.091292399608594,18.850795296837198,23.36183521395129
2011-12-02,21.099650856968907,18.819124795406996,23.256261482244796
2011-12-05,21.095940858405466,18.64210909576123,23.425092834276896
2011-12-06,21.097272158693315,18.76435066029864,23.572066974470793
2011-12-07,21.091546296939228,18.747686907696554,23.424988516744705
2011-12-08,21.07797023145138,18.632543289396352,23.361052340944227
2011-12-09,21.079055216846754,18.665790424317322,23.35693736248256
2011-12-12,21.05988887954102,18.71989918060954,23.457496699352117
2011-12-13,21.058463543061823,18.80590724078749,23.35315782201508
2011-12-14,21.051241258077724,18.82044419111889,23.41011715389982
2011-12-15,21.037419039705444,18.754960400006897,23.235395411816853
2011-12-16,21.03946636280214,18.77653208158704,23.326962592249824
2011-12-19,21.029569192331653,18.69706272023868,23.40155504904887
2011-12-20,21.032937438376987,18.786727420243654,23.47639348398559
2011-12-21,21.03109355137549,18.81557935331228,23.307432690738686
2011-12-22,21.02304976857407,18.763149329456887,23.33092860194793
2011-12-23,21.031081147172202,18.714766682625918,23.115633519126792
2011-12-27,21.046613625316635,18.576573627925416,23.38239533458197
2011-12-28,21.048897057232907,18.76507801456211,23.17569424347141
2011-12-29,21.04411111164437,18.64461540100155,23.33927348338621
2011-12-30,21.054412896688255,18.870677559055448,23.30948462968052
2012-01-03,21.067828041315703,18.99869039801108,23.379014319680213
2012-01-04,21.066734040470454,18.840055863386674,23.424982132738727
2012-01-05,21.057527641285912,18.749064057174483,23.217778769567083
2012-01-06,21.062469354500795,18.7837798887941,23.540383496630607
2012-01-09,21.04964108264228,18.798664236446733,23.28991463855556
2012-01-10,21.04802523350817,18.791194177400687,23.337041843651548
2012-01-11,21.03927759121316,18.734108293339442,23.264217851502135
2012-01-12,21.02255034794422,18.744573644287172,23.181967528143026
2012-01-13,21.020314356719293,18.777528540125967,23.299285447220687
2012-01-17,20.984500733548643,18.640766488031634,23.29168151699297
2012-01-18,20.973077827981207,18.394257292621692,23.297117100592093
2012-01-19,20.9549916202565,18.646258597786762,23.1123851254499
2012-01-20,20.952786072738533,18.58708234358872,23.08424253694964
2012-01-23,20.931126067409522,18.782604140603365,23.159416448235138
2012-01-24,20.9312602669112,18.569550473057685,23.23577818625526
2012-01-25,20.926716494217608,18.46995505990837,23.2183725186063
2012-01-26,20.91662310196456,18.69327166380597,23.156907769081084
2012-01-27,20.923367990784506,18.50026196555074,23.263042529852466
2012-01-30,20.932410588662997,18.58292456209863,23.16625369081878
2012-01-31,20.94335240142082,18.610228030998694,23.086988263623237
2012-02-01,20.949526271588304,18.682682690441702,23.17601129620865
2012-02-02,20.949832974843048,18.767466611570455,23.07006363844678
2012-02-03,20.96643938672569,18.614159469264077,23.428983353882547
2012-02-06,20.99983050084877,18.83330649639658,23.225617909503924
2012-02-07,21.0165756228791,18.66525396969078,23.25008299367552
2012-02-08,21.02717655504832,18.68200059389902,23.135481383267003
2012-02-09,21.030446883055607,18.827523836352494,23.295664547547986
2012-02-10,21.04849893520172,18.80608476959463,23.21273310887021
2012-02-13,21.077077815324998,18.880106439792314,23.301028026393393
2012-02-14,21.089320729710412,18.669207882027017,23.31727375785247
2012-02-15,21.094123827738283,18.693020702898067,23.25969680406594
2012-02-16,21.09043431044925,18.803651539553066,23.36386794032714
2012-02-17,21.100521291080597,18.815440365546216,23.39092591312593
2012-02-21,21.103147799169285,18.968075325848606,23.497282167889438
2012-02-22,21.09782982955907,18.572884475027106,23.296655709339582
2012-02-23,21.084201626008,18.828655998760105,23.54361791465404
2012-02-24,21.084728438454817,18.796468923644664,23.495961568725882
2012-02-27,21.060557989798966,18.93387759560115,23.368817839841658
2012-02-28,21.05631986127668,18.812525396501183,23.073562857527786
2012-02-29,21.045729534433953,18.831981912946862,23.385457526422417
2012-03-01,21.028016472996356,18.67246269050829,23.396930713972218
2012-03-02,21.025697962697343,18.885739602532766,23.266741220556302
2012-03-05,21.000562057347935,18.585061919837635,23.15298713078109
2012-03-06,20.9984475015252,18.869458774546708,23.37764505116376
2012-03-07,20.991108892384474,18.624698104655447,23.297643974348922
2012-03-08,20.977690425248912,18.67389060740381,23.242867785169793
2012-03-09,20.980608939380666,18.776207609896318,23.051872323587133
2012-03-12,20.975672070955945,18.78361790974737,23.19378592149689
2012-03-13,20.981366160066358,18.66643774045009,23.240896700561585
2012-03-14,20.982159196429805,18.646503850641558,23.128169209536424
2012-03-15,20.97706995122885,18.616779339643575,23.294165688621213
2012-03-16,20.988395858587158,18.82839023309634,23.312578526401612
2012-03-19,21.008090215362174,18.7664897303393,23.44470506664209
2012-03-20,21.021499922907296,18.576319829456047,23.349547244159318
2012-03-21,21.029643452770205,18.715304293716127,23.107138252362
2012-03-22,21.031488474497802,18.596478912910285,23.306491396009346
2012-03-23,21.049294123729826,18.635486966451648,23.244751704564777
2012-03-26,21.085493515542847,18.802989917753127,23.49369005951454
2012-03-27,21.103408390679768,18.87842941758035,23.46726311214227
2012-03-28,21.11556984650357,18.694209550006377,23.385519753118356
2012-03-29,21.120960904877634,18.841109956153396,23.535029550866312
2012-03-30,21.141859530350725,18.73776533386522,23.520771966957053
2012-04-02,21.184826550125923,18.908355369208174,23.609283700389945
2012-04-03,21.20422571362993,18.868519674255143,23.464242493768435
2012-04-04,21.21751274720628,18.79055260678935,23.566624382974503
2012-04-05,21.22368187410017,19.01803349878754,23.46648944246751
2012-04-09,21.287272569710012,19.06400166590351,23.484949651259694
2012-04-10,21.305747751361892,18.83162139267758,23.51431466820578
2012-04-11,21.31775676262814,19.099803659496434,23.652934122882016
2012-04-12,21.322286241275673,18.913681677946425,23.523262793504312
2012-04-13,21.341614782313744,18.98053561274424,23.844780247506048
2012-04-16,21.375610376380124,18.971513924866088,23.676008015464518
